ThreadGroup,API,HourlyLoad,ThreadGroupUsers,PerUserPacingMin
TG_1,NGAPI_RecPlan_060_GetLifeAreas,2186,5,7.29
TG_2,NGAPI_RecPlan_080_UpdateLifeAreas,13618,10,22.7
TG_3,NGAPI_CoaP_010_GetClientIDFromClaim,5625,15,6.25
TG_3,NGAPI_CoaP_020_GetClient,5573,15,6.19
TG_3,NGAPI_CoaP_030_GetClaim,5572,15,6.19
TG_3,NGAPI_CoaP_040_GetEosTask,5457,15,6.06
TG_3,NGAPI_CoaP_050_GetContacts,5454,15,6.06
TG_3,NGAPI_CoaP_060_GetParticipants,5459,15,6.07
TG_3,NGAPI_CoaP_090_GetEForm,5822,15,6.47
TG_3,NGAPI_CoaP_110_GetPaymentHistory,2754,15,3.06
TG_3,NGAPI_CoaP_120_GetPendingPayments,1478,15,1.64
TG_3,NGAPI_CoaP_130_GetCertificationPeriods,1478,15,1.64
TG_3,NGAPI_CoaP_140_GetPurchaseOrders,2754,15,3.06
TG_3,NGAPI_CoaP_150_GetOccupationEarnings,1477,15,1.64
TG_3,NGAPI_CoaP_180_GetAllClaimsByClientID,9693,15,10.77
TG_3,NGAPI_WelConRecPlan_010_CreateContact,844,15,0.94
TG_4,NGAPI_RecPlan_010_CreateTask,2106,5,7.02
TG_5,NGAPI_RecPlan_020_GetRecoveryPlan,4234,5,14.11
TG_5,NGAPI_RecPlan_040_GetActions,244,5,0.81
TG_5,NGAPI_RecPlan_070_CreateHCG,90,5,0.3
TG_5,NGAPI_RecPlan_110_CreateClientGoals,206,5,0.69
TG_5,NGAPI_RecPlan_050_GetClientGoal,244,5,0.81
TG_5,NGAPI_RecPlan_120_UpdateClientGoal,370,5,1.23
TG_6,NGAPI_HGCreate_010_CreateEForm,210,3,1.17
TG_7,NGAPI_WelCon_010_UpdateClaim,92,2,0.77
TG_8,NGAPI_WLM_010_CreateTaskTransfer,1334,10,2.22
TG_8,NGAPI_WLM_020_UpdateTask,4416,10,7.36
TG_8,NGAPI_WLM_030_CloseTask,4416,10,7.36
TG_9,NGAPI_RecPlan_030_GetSpecificTask,11100,10,18.5
TG_10,NG_API_WGTasts_030_GetCaseDocumentsSFTask,11184,10,18.64
